# BLOCK:        DISTANCE:        ACTUAL_GOFR:
          11    0.128248           0
          11    0.153898           0
          11    0.179547           0
          11    0.205197           0
          11    0.230847           0
          11    0.256496           0
          11    0.282146           0
          11    0.307796           0
          11    0.333445           0
          11    0.359095           0
          11    0.384745           0
          11    0.410394           0
          11    0.436044           0
          11    0.461694           0
          11    0.487343           0
          11    0.512993           0
          11    0.538642           0
          11    0.564292           0
          11    0.589942           0
          11    0.615591           0
          11    0.641241           0
          11    0.666891           0
          11     0.69254           0
          11     0.71819           0
          11     0.74384           0
          11    0.769489           0
          11    0.795139           0
          11    0.820788           0
          11    0.846438           0
          11    0.872088  0.00110046
          11    0.897737   0.0302708
          11    0.923387    0.205115
          11    0.949037    0.576601
          11    0.974686     1.15365
          11     1.00034     1.83954
          11     1.02599     2.37727
          11     1.05164     2.62674
          11     1.07728     2.49888
          11     1.10293     2.41465
          11     1.12858     2.13424
          11     1.15423     1.98639
          11     1.17988     1.76454
          11     1.20553     1.56105
          11     1.23118     1.39303
          11     1.25683     1.23552
          11     1.28248     1.13282
          11     1.30813      1.0139
          11     1.33378    0.975864
          11     1.35943    0.837671
          11     1.38508     0.77243
          11     1.41073    0.742702
          11     1.43638    0.706011
          11     1.46203    0.724571
          11     1.48768    0.685244
          11     1.51333    0.677991
          11     1.53898    0.685169
          11     1.56463    0.684093
          11     1.59028    0.672522
          11     1.61593    0.674761
          11     1.64158    0.707015
          11     1.66723    0.721251
          11     1.69288    0.753533
          11     1.71853     0.75969
          11     1.74418    0.841892
          11     1.76983    0.852404
          11     1.79547    0.925676
          11     1.82112    0.967075
          11     1.84677    0.995999
          11     1.87242     1.02756
          11     1.89807     1.07386
          11     1.92372     1.14851
          11     1.94937     1.12469
          11     1.97502     1.13555
          11     2.00067      1.1809
          11     2.02632     1.20382
          11     2.05197     1.22661
          11     2.07762     1.22037
          11     2.10327     1.19626
          11     2.12892     1.16579
          11     2.15457     1.15098
          11     2.18022     1.13057
          11     2.20587     1.09957
          11     2.23152     1.07279
          11     2.25717     1.05365
          11     2.28282     1.03455
          11     2.30847    0.999411
          11     2.33412     1.00184
          11     2.35977    0.976321
          11     2.38542     0.94521
          11     2.41107    0.936196
          11     2.43672    0.908249
          11     2.46237    0.884705
          11     2.48802    0.878007
          11     2.51366    0.880173
          11     2.53931    0.898796

          12           0           0
          12   0.0256496           0
          12   0.0512993           0
          12   0.0769489           0
          12    0.102599           0
          12    0.128248           0
          12    0.153898           0
          12    0.179547           0
          12    0.205197           0
          12    0.230847           0
          12    0.256496           0
          12    0.282146           0
          12    0.307796           0
          12    0.333445           0
          12    0.359095           0
          12    0.384745           0
          12    0.410394           0
          12    0.436044           0
          12    0.461694           0
          12    0.487343           0
          12    0.512993           0
          12    0.538642           0
          12    0.564292           0
          12    0.589942           0
          12    0.615591           0
          12    0.641241           0
          12    0.666891           0
          12     0.69254           0
          12     0.71819           0
          12     0.74384           0
          12    0.769489           0
          12    0.795139           0
          12    0.820788           0
          12    0.846438           0
          12    0.872088  0.00178825
          12    0.897737   0.0207868
          12    0.923387    0.173694
          12    0.949037    0.582539
          12    0.974686     1.20001
          12     1.00034      1.8684
          12     1.02599       2.303
          12     1.05164     2.58425
          12     1.07728     2.58312
          12     1.10293     2.39103
          12     1.12858     2.06553
          12     1.15423     1.91136
          12     1.17988     1.75131
          12     1.20553       1.632
          12     1.23118     1.43702
          12     1.25683     1.24153
          12     1.28248     1.10464
          12     1.30813     1.00588
          12     1.33378    0.948736
